CustomerID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFMScore,RFMSegment,Cluster,Segment,PCA1,PCA2,TSNE1,TSNE2
12405,149,1,1710.39,2,1,4,7,At Risk,0,High-Spend Watchlist,-0.4480591260348126,0.45566188637964133,-29.537508,-3.948468
12406,23,2,3415.3,4,2,5,11,Potential Loyalists,2,High-Value Active,0.8686986784891894,-0.25686813068545794,6.761704,-31.61741
12407,50,5,1708.1200000000001,3,4,4,11,Loyal Customers,2,High-Value Active,1.0330466499439748,0.07986519673692934,48.83353,8.7228
12408,33,5,2888.55,4,4,5,13,Champions,2,High-Value Active,1.3715723574977723,0.08925041143785128,54.77308,11.751946
12409,79,3,11072.67,2,3,5,10,At Risk,2,High-Value Active,1.434815837344989,0.7146525498321578,29.47157,6.969541
12410,309,2,693.3299999999999,1,2,3,6,At Risk,1,Dormant Customers,-1.29158546438639,1.7635439024447779,0.09592468,12.069258
12412,75,3,1226.88,2,3,4,9,At Risk,0,High-Spend Watchlist,0.38051133003686294,0.018086947376656736,23.98582,-32.103268
12413,67,3,758.1,3,3,3,9,Needs Attention,0,High-Spend Watchlist,0.18441113833350098,-0.1965070627639703,21.43157,-44.872917
12414,218,3,562.41,1,3,3,7,At Risk,1,Dormant Customers,-0.6910162502731269,1.0336014352473704,10.198947,-4.298509
12415,25,21,124914.53,4,5,5,14,Champions,2,High-Value Active,4.435443347999159,1.7317865892978044,3.4493701,62.19554
12417,4,9,3649.1,5,5,5,15,Champions,2,High-Value Active,2.09228365140319,0.1338590008103401,28.649284,39.818436
12418,113,1,668.58,2,1,3,6,At Risk,0,High-Spend Watchlist,-0.7321566478655174,-0.14129041959434788,-34.81542,-2.5158598
12420,64,1,600.39,3,1,3,7,Needs Attention,0,High-Spend Watchlist,-0.5477389049752467,-0.6018785871098393,-39.360332,-15.661906
12421,16,4,807.04,4,4,3,11,Loyal Customers,0,High-Spend Watchlist,0.665197796689241,-0.5239648291643627,50.65791,-18.012072
12422,96,3,803.5600000000001,2,3,3,8,At Risk,0,High-Spend Watchlist,0.07262715459220567,0.07445984461004906,19.650927,-30.955887
12423,1,8,1859.31,5,5,4,14,Champions,2,High-Value Active,1.681535806054783,-0.14210596816491405,43.17651,39.970264
12424,163,2,1760.96,2,2,4,8,At Risk,0,High-Spend Watchlist,-0.13125716729810777,0.7675936953916953,2.1120338,-15.992256
12425,79,1,777.2,2,1,3,6,At Risk,0,High-Spend Watchlist,-0.49442163956937163,-0.39323807499150293,-34.475163,-12.008697
12426,195,1,582.73,1,1,3,5,At Risk,1,Dormant Customers,-1.1955040879449779,0.5341411723591754,-26.710226,11.750404
12427,22,3,825.8,4,3,3,10,Potential Loyalists,0,High-Spend Watchlist,0.44363240069576176,-0.5641233643072302,31.139652,-48.910496
12428,26,9,7956.46,4,5,5,14,Champions,2,High-Value Active,2.366405831373072,0.5605982069213136,20.73671,37.149357
12429,10,4,3750.4,5,4,5,14,Champions,2,High-Value Active,1.4436854913117578,-0.1145546771863632,35.08189,6.0131803
12430,44,1,256.4,3,1,2,6,Needs Attention,0,High-Spend Watchlist,-0.8653382197725352,-1.03197151816093,-60.05379,-9.824167
12431,36,15,6419.95,3,5,5,13,Loyal Customers,2,High-Value Active,2.642525495271603,0.7930468371856504,15.58795,51.586746
12432,43,5,5059.32,3,4,5,12,Loyal Customers,2,High-Value Active,1.5967752549695873,0.34521626376146897,32.327026,9.86822
12433,1,7,13375.87,5,5,5,15,Champions,2,High-Value Active,2.5370486741419436,0.39883940755771136,20.841852,31.021978
12434,85,2,806.14,2,2,3,7,At Risk,0,High-Spend Watchlist,-0.13534113504090106,-0.14900515845336537,-6.5190773,-26.797314
12435,80,2,7829.89,2,2,5,9,At Risk,2,High-Value Active,0.998129613783693,0.4908736970406159,28.785505,6.5927076
12436,100,1,509.01,2,1,3,6,At Risk,0,High-Spend Watchlist,-0.8022103212944202,-0.33680633206857574,-37.171963,-4.0363817
12437,2,18,4951.41,5,5,5,15,Champions,2,High-Value Active,2.8370238260495744,0.4943846067168531,17.836975,56.33838
12438,15,2,2906.85,4,2,5,11,Potential Loyalists,0,High-Spend Watchlist,0.828701382420542,-0.3752675159894451,6.6113024,-32.059628
12441,367,1,173.55,1,1,1,3,Lost Customers,1,Dormant Customers,-2.616241974702332,1.6743143524603687,-20.682255,54.017338
12442,4,1,172.06,5,1,1,7,New Customers,0,High-Spend Watchlist,-0.8657931031686613,-1.501011935556928,-73.20735,-12.544918
12444,22,5,5005.46,4,4,5,13,Champions,2,High-Value Active,1.6930591921262008,0.15844984977299456,32.064083,10.825216
12445,23,1,133.4,4,1,1,6,New Customers,0,High-Spend Watchlist,-1.0810534441541586,-1.4109998512604203,-74.13602,-4.075046
12446,58,1,1002.3100000000001,3,1,4,8,Needs Attention,0,High-Spend Watchlist,-0.2688796078754325,-0.5003523219874266,-31.935865,-15.140888
12447,244,1,476.49,1,1,2,4,Lost Customers,1,Dormant Customers,-1.5304280616845352,0.9019835240250846,-22.884531,18.73678
12448,45,1,449.45,3,1,2,6,Needs Attention,0,High-Spend Watchlist,-0.5969801466225896,-0.8548833590602801,-46.508064,-17.445248
12449,23,4,4067.29,4,4,5,13,Champions,2,High-Value Active,1.4204354520667815,0.023465084431496343,34.338684,6.0689025
12450,157,2,197.88,2,2,1,5,Needs Attention,1,Dormant Customers,-1.1672044016693628,0.058902311998580974,-11.9793625,-5.501705
12451,11,5,9035.52,5,4,5,14,Champions,2,High-Value Active,2.034520667894676,0.2399581764404184,22.181765,29.92058
12452,17,2,430.57,4,2,2,8,Potential Loyalists,0,High-Spend Watchlist,-0.11228133104377115,-0.9316872944113341,-13.9500675,-55.019962
12453,135,1,707.09,2,1,3,6,At Risk,0,High-Spend Watchlist,-0.8111989495738262,0.06781973689184093,-33.566936,-0.81441665
12454,57,1,3528.34,3,1,5,9,Needs Attention,0,High-Spend Watchlist,0.34998671754882404,-0.13070995556040485,-25.65708,-14.692616
12455,74,6,2466.86,2,4,5,11,At Risk,2,High-Value Active,1.237146281946536,0.46888888826418906,43.110004,14.646427
12456,45,3,3181.04,3,3,5,11,Needs Attention,2,High-Value Active,0.9903812158097152,0.042334398745171926,24.156166,-16.921595
12457,67,7,2363.23,3,5,5,13,Loyal Customers,2,High-Value Active,1.3719764281033875,0.4543460580208033,39.900265,19.726236
12458,72,2,947.4,3,2,4,9,Needs Attention,0,High-Spend Watchlist,0.0062298640264553985,-0.21411249718408765,-4.71277,-30.34649
12461,95,2,826.88,2,2,3,7,At Risk,0,High-Spend Watchlist,-0.17129257046567942,-0.05396933228529168,-5.6188865,-26.076946
12462,19,2,1189.59,4,2,4,10,Potential Loyalists,0,High-Spend Watchlist,0.3734412516809886,-0.6089345234623015,3.0083697,-38.39959
12463,54,4,1344.78,3,4,4,11,Loyal Customers,2,High-Value Active,0.730544931236622,-0.038374140587196105,38.46137,-9.272082
12464,11,8,1212.05,5,5,4,14,Champions,2,High-Value Active,1.424451546826394,-0.18333788346546548,52.8192,38.023758
12465,18,2,742.1899999999999,4,2,3,9,Potential Loyalists,0,High-Spend Watchlist,0.14822012353628594,-0.759440586026522,-1.7484577,-47.49981
12468,188,2,729.5400000000001,1,2,3,6,At Risk,1,Dormant Customers,-0.6818901829342964,0.7212545157747423,0.9839606,-2.5997384
12471,3,30,19788.65,5,5,5,15,Champions,2,High-Value Active,3.9554944167322232,1.1381578645282397,6.951974,62.909218
12472,33,7,6572.11,4,5,5,14,Champions,2,High-Value Active,2.035500629180347,0.46478066973348137,24.075447,30.076012
12473,30,5,3928.0499999999997,4,4,5,13,Champions,2,High-Value Active,1.5360888566205364,0.15547270745260325,33.116283,11.095961
12474,18,18,7324.09,4,5,5,14,Champions,2,High-Value Active,2.9507724087599714,0.7519834556751805,13.561777,55.799686
12475,54,1,723.38,3,1,3,7,Needs Attention,0,High-Spend Watchlist,-0.40856550639759126,-0.6333063810244464,-38.94671,-18.20476
12476,16,11,6816.42,4,5,5,14,Champions,2,High-Value Active,2.5057467403225573,0.5079796349645525,20.40793,39.695885
12477,23,6,13219.74,4,4,5,13,Champions,2,High-Value Active,2.3030393322550355,0.5280505029073548,21.195883,30.126904
12478,4,1,680.99,5,1,3,9,New Customers,0,High-Spend Watchlist,-0.19631803259715727,-1.088464154240901,-41.972595,-24.291111
12479,12,1,527.2,5,1,3,9,New Customers,0,High-Spend Watchlist,-0.3597364996833469,-1.095414801317651,-44.609146,-24.145342
12480,29,4,3281.63,4,4,5,13,Champions,2,High-Value Active,1.2866811909639562,0.011356279778877643,36.89395,2.903713
12481,23,10,5579.82,4,5,5,14,Champions,2,High-Value Active,2.2947483992145705,0.47015241873620356,21.590681,40.39457
12483,18,8,2484.98,4,5,5,14,Champions,2,High-Value Active,1.7408971139572198,0.09369704393519952,37.439465,36.081688
12484,33,6,4527.32,4,4,5,13,Champions,2,High-Value Active,1.7316515753607291,0.29313667722401404,29.1802,23.941635
12488,10,3,1298.66,5,3,4,12,Potential Loyalists,0,High-Spend Watchlist,0.7224370920395777,-0.5329447646377921,36.54987,-38.90476
12489,337,1,334.93,1,1,2,4,Lost Customers,1,Dormant Customers,-2.1516252804312286,1.6090530461212018,-14.456751,31.85925
12490,6,10,5417.93,5,5,5,15,Champions,2,High-Value Active,2.3625506954904627,0.3127108947242652,22.763908,39.77858
12491,39,1,460.40000000000003,3,1,2,6,Needs Attention,0,High-Spend Watchlist,-0.5562527596570468,-0.9001001102275955,-47.106213,-19.199348
12492,64,2,263.21000000000004,3,2,2,7,Needs Attention,0,High-Spend Watchlist,-0.5790068999257427,-0.6685024856471589,-25.311787,-45.806892
12493,166,2,433.74,2,2,2,6,Needs Attention,1,Dormant Customers,-0.8289302911704396,0.3728265553596583,-6.859576,-10.200203
12494,16,7,1246.1000000000001,4,5,4,13,Champions,2,High-Value Active,1.306241595984049,-0.18383057440836295,53.146935,35.393757
12497,82,1,1043.1,2,1,4,7,At Risk,0,High-Spend Watchlist,-0.36543423603929753,-0.2785957067796114,-31.612417,-12.891988
12498,22,3,403.70000000000005,4,3,2,9,Potential Loyalists,0,High-Spend Watchlist,0.09487028269011302,-0.7790395640508342,20.728973,-56.79287
12500,24,11,4257.82,4,5,5,14,Champions,2,High-Value Active,2.2373950411808434,0.4363664276615173,24.016726,45.12747
12501,337,1,2169.39,1,1,5,7,At Risk,1,Dormant Customers,-1.2408037485740755,2.1703247329395983,-11.60157,18.47034
12502,96,5,3723.87,2,4,5,11,At Risk,2,High-Value Active,1.1910125655291963,0.7162819849617007,40.577274,12.732807
12504,19,2,482.04999999999995,4,2,2,8,Potential Loyalists,0,High-Spend Watchlist,-0.0669358079049289,-0.8803062098188315,-10.6191225,-53.86358
12506,233,1,73.5,1,1,1,3,Lost Customers,1,Dormant Customers,-2.3841660002937135,0.2469791883004706,-46.324093,30.315113
12507,135,3,1304.81,2,3,4,9,At Risk,0,High-Spend Watchlist,0.12052890727784295,0.5610192422284713,20.970812,-25.107014
12508,27,2,397.88,4,2,2,8,Potential Loyalists,0,High-Spend Watchlist,-0.19907164957345816,-0.8679796974058649,-16.888174,-52.41466
12509,285,1,176.5,1,1,1,3,Lost Customers,1,Dormant Customers,-2.211696832978983,0.9626472697627496,-30.36312,35.44337
12510,143,2,982.5699999999999,2,2,4,8,At Risk,0,High-Spend Watchlist,-0.3191872660533223,0.41740627499312216,-0.59300643,-15.472691
12512,67,2,132.18,3,2,1,6,Needs Attention,0,High-Spend Watchlist,-0.9279303383088943,-0.8483610871724484,-30.880959,-48.488846
12513,113,1,612.29,2,1,3,6,At Risk,0,High-Spend Watchlist,-0.7750248436145439,-0.1677069059172589,-35.367737,-2.3773403
12514,268,1,1017.68,1,1,4,6,At Risk,1,Dormant Customers,-1.276535275594106,1.3396948619309814,-15.732048,18.78376
12515,354,1,383.7,1,1,2,4,Lost Customers,1,Dormant Customers,-2.1676204028555364,1.7984194849928965,-10.682569,50.26147
12516,78,2,1312.06,2,2,4,8,At Risk,0,High-Spend Watchlist,0.13605089960494265,-0.06379941544329033,-1.255339,-29.786192
12517,29,5,2481.6,4,4,5,13,Champions,2,High-Value Active,1.3168045812422942,0.008625086471147434,54.41072,10.418104
12518,1,5,2056.89,5,4,5,14,Champions,2,High-Value Active,1.3605538607637977,-0.2925475552643821,61.046272,8.01063
12519,64,1,330.84,3,1,2,6,Needs Attention,0,High-Spend Watchlist,-0.838004650366533,-0.7807478154307587,-50.421906,-7.6072736
12520,80,5,2634.26,2,4,5,11,At Risk,2,High-Value Active,1.0994179667224773,0.4723349914772015,41.90065,11.168576
12521,143,1,599.68,2,1,3,6,At Risk,0,High-Spend Watchlist,-0.9301780733412057,0.08825375773658027,-34.16746,0.66476566
12522,40,2,192.72,3,2,1,6,Needs Attention,0,High-Spend Watchlist,-0.6144943400885498,-0.9716268241998416,-28.607725,-50.28633
12523,20,11,1789.77,4,5,4,13,Champions,2,High-Value Active,1.8337991096179058,0.14078420906499356,41.011234,46.39912
12524,10,8,4485.72,5,5,5,15,Champions,2,High-Value Active,2.0678135020246327,0.20139932093150256,29.041502,33.89728
12526,1,3,1316.66,5,3,4,12,Potential Loyalists,0,High-Spend Watchlist,0.7726551685190214,-0.6074701164767119,37.294586,-38.573475
12527,82,3,348.71000000000004,2,3,2,7,At Risk,0,High-Spend Watchlist,-0.26644616989917885,-0.298551908313966,16.313038,-49.81041
12528,10,6,1933.48,5,5,4,14,Champions,2,High-Value Active,1.4276257789138482,-0.16374891021332255,52.37858,24.189684
12530,60,4,1662.28,3,4,4,11,Loyal Customers,2,High-Value Active,0.8049473712048538,0.07778857519128998,37.452618,-7.2299247
12531,15,1,125.22,4,1,1,6,New Customers,0,High-Spend Watchlist,-1.0730384422061767,-1.4998128219340081,-75.8309,-3.0474792
12532,31,1,349.83000000000004,4,1,2,7,New Customers,0,High-Spend Watchlist,-0.6513259617390456,-1.0524386873380553,-54.074802,-19.042774
12534,131,1,1089.18,2,1,4,7,At Risk,0,High-Spend Watchlist,-0.5812024662607874,0.1626734829871945,-31.42134,-2.7429101
12535,92,2,716.35,2,2,3,7,At Risk,0,High-Spend Watchlist,-0.22674940703834584,-0.12330027130342334,-7.356893,-24.465763
12536,44,3,12601.830000000002,3,3,5,11,Needs Attention,2,High-Value Active,1.6671417384095668,0.4476526605800324,29.823683,6.9194326
12538,30,1,363.95,4,1,2,7,New Customers,0,High-Spend Watchlist,-0.6272294716332146,-1.0493088121750502,-53.53842,-19.655508
12539,23,4,5568.35,4,4,5,13,Champions,2,High-Value Active,1.5737502891652138,0.11794163578955151,32.574387,7.36504
12540,20,17,13400.24,4,5,5,14,Champions,2,High-Value Active,3.186612116476005,0.9270666718808467,8.183019,56.791527
12541,30,3,981.18,4,3,4,11,Potential Loyalists,0,High-Spend Watchlist,0.4890326710983419,-0.4423945270610391,31.04872,-44.35599
12544,37,1,372.7,3,1,2,6,Needs Attention,0,High-Spend Watchlist,-0.6494990116749609,-0.9809988576743883,-52.41605,-18.241768
12545,76,2,1000.39,2,2,4,8,At Risk,0,High-Spend Watchlist,0.013436263291183912,-0.1627957176978286,-4.1682615,-29.711706
12546,47,2,1161.5,3,2,4,9,Needs Attention,0,High-Spend Watchlist,0.2264418016047482,-0.3713872961077672,-1.0048711,-33.731983
12547,198,2,207.79999999999998,1,2,1,4,Lost Customers,1,Dormant Customers,-1.341624052509667,0.4318995400372924,-9.971662,-2.7703443
12548,167,1,95.19999999999999,2,1,1,4,Needs Attention,1,Dormant Customers,-1.9403487445407988,-0.2529833636369594,-49.195347,21.67156
12550,80,1,964.83,2,1,4,7,At Risk,0,High-Spend Watchlist,-0.393806938568625,-0.31951770216487463,-32.32191,-12.885536
12551,358,1,168.0,1,1,1,3,Lost Customers,1,Dormant Customers,-2.5885128945076774,1.585930701889886,-21.07952,53.00107
12552,39,2,437.82,3,2,2,7,Needs Attention,0,High-Spend Watchlist,-0.21048995069665027,-0.7343879166854062,-16.514965,-49.445637
12553,9,10,3692.28,5,5,5,15,Champions,2,High-Value Active,2.16089046719126,0.22359967612653833,27.50114,42.57895
12556,51,2,599.56,3,2,3,8,Needs Attention,0,High-Spend Watchlist,-0.11531737380538448,-0.5351120916048591,-10.021414,-40.752827
12557,17,5,11990.960000000001,4,4,5,13,Champions,2,High-Value Active,2.1436542417722206,0.3775231114600859,21.58971,30.076036
12558,8,1,269.96,5,1,2,8,New Customers,0,High-Spend Watchlist,-0.6662619498174244,-1.331179689135048,-63.787155,-19.691345
12559,311,2,561.71,1,2,3,6,At Risk,1,Dormant Customers,-1.4038594353325822,1.7177957951744294,-0.5199816,12.707049
12560,6,3,2134.01,5,3,5,13,Potential Loyalists,2,High-Value Active,0.9840878486748119,-0.41858484004187857,36.96851,-33.654377
12561,303,1,238.85,1,1,1,3,Lost Customers,1,Dormant Customers,-2.151741030939414,1.21053562712509,-22.617329,39.17356
12562,9,7,3781.7400000000002,5,5,5,15,Champions,2,High-Value Active,1.8817726971763982,0.08879349473621324,31.759007,30.309278
12564,262,1,456.9,1,1,2,4,Lost Customers,1,Dormant Customers,-1.637885625569419,1.0467074534486487,-22.140385,20.982304
12565,289,1,145.92,1,1,1,3,Lost Customers,1,Dormant Customers,-2.3233373893276195,0.9407274942080524,-31.18819,37.860855
12566,87,1,351.65,2,1,2,5,Needs Attention,0,High-Spend Watchlist,-0.9194873235210035,-0.5614224760199957,-46.051563,-3.797348
12567,23,10,9401.28,4,5,5,14,Champions,2,High-Value Active,2.549389778565434,0.6270689951708915,19.366753,38.057354
12569,3,32,4124.69,5,5,5,15,Champions,2,High-Value Active,3.2471600592076553,0.694362008311344,14.625058,62.807034
12571,40,2,519.61,3,2,3,8,Needs Attention,0,High-Spend Watchlist,-0.13188833011959433,-0.674232570979164,-10.773439,-46.23946
12572,9,2,1020.42,5,2,4,11,Potential Loyalists,0,High-Spend Watchlist,0.34696256786224955,-0.7424413970425239,3.2331812,-41.342747
12573,228,1,160.54000000000002,1,1,1,3,Lost Customers,1,Dormant Customers,-1.9821708074687256,0.43610396648887434,-37.931744,27.96873
12574,316,1,218.45,1,1,1,3,Lost Customers,1,Dormant Customers,-2.257972913988369,1.297419839331647,-22.332453,40.522076
12576,36,5,1315.83,3,4,4,11,Loyal Customers,2,High-Value Active,0.973425600899495,-0.12094086655487954,61.829224,-0.71870935
12577,36,3,626.6,3,3,3,9,Needs Attention,0,High-Spend Watchlist,0.24138968219065027,-0.5246844990761613,24.26245,-50.5113
12578,22,2,2794.51,4,2,5,11,Potential Loyalists,0,High-Spend Watchlist,0.7756315608730061,-0.32593748823687774,6.3241096,-32.032085
12579,79,1,440.42,2,1,2,5,Needs Attention,0,High-Spend Watchlist,-0.7712117557142988,-0.5638032734959317,-43.014126,-7.7202654
12580,247,1,415.7,1,1,2,4,Lost Customers,1,Dormant Customers,-1.6114075446170386,0.8872388889449413,-24.007214,19.850315
12581,40,1,197.71,3,1,1,5,Needs Attention,0,High-Spend Watchlist,-0.9723363085525917,-1.1447825069359414,-65.06249,-8.147868
12582,239,2,511.36,1,2,3,6,At Risk,1,Dormant Customers,-1.1015930981275956,1.0602919054985465,-2.960109,2.4192274
12583,3,15,7281.38,5,5,5,15,Champions,2,High-Value Active,2.863495130476339,0.542486929748164,13.460355,50.91607
12584,4,9,2338.15,5,5,5,15,Champions,2,High-Value Active,1.8750608470227668,7.140157495424042e-07,37.96189,41.934265
12585,235,2,2040.1,1,2,4,7,At Risk,1,Dormant Customers,-0.4074913681436272,1.4411392579693738,5.808109,2.547963
12586,18,1,196.94000000000003,4,1,1,6,New Customers,0,High-Spend Watchlist,-0.8678902155660246,-1.338238192942872,-69.29871,-13.1458645
12587,8,1,144.0,5,1,1,7,New Customers,0,High-Spend Watchlist,-0.9714887449848357,-1.5192683016610133,-74.57797,-10.388634
12588,40,1,214.89999999999998,3,1,1,5,Needs Attention,0,High-Spend Watchlist,-0.9318327858881419,-1.1198231930716658,-63.121845,-8.861322
12589,29,2,646.68,4,2,3,9,Potential Loyalists,0,High-Spend Watchlist,0.02789816389204668,-0.704677047244985,-6.3311453,-45.94786
12590,212,2,9864.26,1,2,5,8,At Risk,2,High-Value Active,0.4728222126058732,1.7140740983046154,8.336883,4.7664
12591,318,1,452.84999999999997,1,1,2,4,Lost Customers,1,Dormant Customers,-1.9129099611991218,1.5334945235207167,-14.191519,26.85122
12592,93,2,437.6,2,2,2,6,Needs Attention,0,High-Spend Watchlist,-0.4717546846031428,-0.262559830969261,-11.028387,-17.504597
12593,109,3,418.09999999999997,2,3,2,7,At Risk,0,High-Spend Watchlist,-0.30859343097983305,-0.008111064217291148,13.155151,-23.21146
12594,38,10,3338.2200000000003,3,5,5,13,Loyal Customers,2,High-Value Active,1.971515701436049,0.4467531452151094,31.595613,45.190243
12596,52,2,618.27,3,2,3,8,Needs Attention,0,High-Spend Watchlist,-0.10517437389256021,-0.5171427111547613,-9.928357,-40.101208
12597,20,4,3811.22,4,4,5,13,Champions,2,High-Value Active,1.4031996259866706,-0.02231308351048449,34.640846,5.8871045
12598,10,8,3023.08,5,5,5,15,Champions,2,High-Value Active,1.8752201938121367,0.0827183640266363,34.09722,36.06461
12599,30,7,1032.58,4,5,4,13,Champions,2,High-Value Active,1.1468937824538632,-0.11795876394146787,55.599804,35.264996
12600,29,10,2599.04,4,5,5,14,Champions,2,High-Value Active,1.892871953898126,0.29281981848428096,33.924427,46.054
